Quarter,Time,Down,ToGo,Location,JAX,LAC,Detail,EPB,EPA
2,1:02,,,JAX 35,16,7,"Riley Patterson kicks off 65 yards, touchback.",0,0.61
2,1:02,1,10,LAC 25,16,7,Justin Herbert pass complete short right to Austin Ekeler for 12 yards (tackle by Devin Lloyd and Travon Walker),0.61,1.4
2,0:36,1,10,LAC 37,16,7,"Penalty on Trey Pipkins: False Start, 5 yards (accepted) (no play)",1.4,1.07
2,0:38,,,,,,Timeout #2 by Los Angeles Chargers,,
2,0:38,1,15,LAC 32,16,7,Justin Herbert pass complete short left to Austin Ekeler for 4 yards (tackle by Devin Lloyd),1.07,0.72
2,0:30,2,11,LAC 36,16,7,Justin Herbert pass incomplete short middle intended for Gerald Everett,0.72,0.04
2,0:27,3,11,LAC 36,16,7,Justin Herbert pass incomplete deep left intended for Mike Williams,0.04,-0.98
2,0:23,4,11,LAC 36,16,7,"JK Scott punts 41 yards, returned by Jamal Agnew for -2 yards (tackle by Drue Tranquill)",-0.98,-0.34
2,0:11,1,10,JAX 21,16,7,Trevor Lawrence kneels for -1 yards,0.34,-0.34
3,15:00,,,JAX 35,16,7,"Riley Patterson kicks off 65 yards, touchback.",0,0.61
3,15:00,1,10,LAC 25,16,7,"Austin Ekeler left end for 2 yards (tackle by Devin Lloyd and Andre Cisco). Penalty on Tre' McKitty: Offensive Holding, 10 yards (accepted)",0.61,-0.15
3,14:48,1,18,LAC 17,16,7,Justin Herbert pass incomplete deep right intended for Mike Williams,-0.15,-1.15
3,14:41,2,18,LAC 17,16,7,Austin Ekeler right guard for 3 yards (tackle by Foyesade Oluokun and Travon Walker),-1.15,-1.29
3,14:01,3,15,LAC 20,16,7,Justin Herbert pass complete deep middle to Jalen Guyton for 54 yards (tackle by Rayshawn Jenkins),-1.29,3.84
3,13:27,1,10,JAX 26,16,7,Sony Michel left end for 2 yards (tackle by Roy Robertson-Harris),3.84,3.57
3,12:55,2,8,JAX 24,16,7,Justin Herbert pass complete short right to Josh Palmer for 17 yards (tackle by Tre Herndon),3.57,5.6
3,12:11,1,7,JAX 7,16,7,Justin Herbert pass incomplete short right,5.6,4.76
3,12:05,2,7,JAX 7,16,7,Justin Herbert pass incomplete short right,4.76,3.81
3,11:58,3,7,JAX 7,16,7,Justin Herbert pass incomplete short middle,3.81,2.97
3,11:54,4,7,JAX 7,16,10,Dustin Hopkins 25 yard field goal good,2.97,3
3,11:51,,,LAC 35,16,10,"Dustin Hopkins kicks off 65 yards, touchback.",0,0.61
3,11:51,1,10,JAX 25,16,10,Trevor Lawrence pass complete short right to Zay Jones for 16 yards (tackle by Derwin James),0.61,1.66
3,11:17,1,10,JAX 41,16,10,Trevor Lawrence pass incomplete short left intended for Jamycal Hasty,1.66,1.12
3,11:12,2,10,JAX 41,16,10,Trevor Lawrence pass complete short right to Christian Kirk for 9 yards,1.12,1.62
3,11:01,3,1,JAX 50,16,10,Trevor Lawrence pass incomplete short middle intended for Christian Kirk,1.62,-0.06
3,10:47,4,1,JAX 50,22,10,"James Robinson left tackle for 50 yards, touchdown",-0.06,7
3,10:38,,,LAC 15,23,10,Riley Patterson kicks extra point good,0,0
3,10:38,,,JAX 35,23,10,"Riley Patterson kicks off 65 yards, touchback.",0,0.61
3,10:38,1,10,LAC 25,23,10,Justin Herbert pass incomplete deep right intended for Gerald Everett (defended by Devin Lloyd),0.61,0.06
3,10:33,2,10,LAC 25,23,10,Justin Herbert pass incomplete short left intended for Josh Palmer,0.06,-0.62
