Quarter,Time,Down,ToGo,Location,LVR,LAC,Detail,EPB,EPA
,,,,,,,blank,,
3,6:42,,,LVR 15,10,24,Dustin Hopkins kicks extra point good,0,0
3,6:42,,,LAC 35,10,24,"Dustin Hopkins kicks off 65 yards, touchback.",0,0.61
3,6:42,1,10,LVR 25,10,24,Derek Carr pass complete short right to Davante Adams for 10 yards (tackle by Derwin James),0.61,1.27
3,5:50,1,10,LVR 35,10,24,Josh Jacobs left guard for 7 yards (tackle by Kyle Van Noy),1.27,1.67
3,5:21,2,3,LVR 42,10,24,Josh Jacobs up the middle for 18 yards (tackle by Derwin James),1.67,2.92
3,4:41,1,10,LAC 40,10,24,Josh Jacobs left guard for 6 yards (tackle by Nasir Adderley),2.92,3.18
3,4:09,2,4,LAC 34,10,24,Derek Carr pass incomplete short left intended for Hunter Renfrow,3.18,2.48
3,4:04,3,4,LAC 34,10,24,Derek Carr pass incomplete short right intended for Hunter Renfrow,2.48,1.08
3,3:50,,,,,,Timeout #1 by Los Angeles Chargers,,
3,3:50,4,4,LAC 34,10,24,"Derek Carr pass complete short middle to Hunter Renfrow for 9 yards. Hunter Renfrow fumbles (forced by Nasir Adderley), recovered by Hunter Renfrow at LAC-25 (tackle by Nasir Adderley)",1.08,3.91
3,3:08,1,10,LAC 25,10,24,Davante Adams sacked by Joey Bosa for -10 yards,3.91,2.01
3,2:16,2,20,LAC 35,10,24,"Penalty on Thayer Munford: False Start, 5 yards (accepted) (no play)",2.01,1.34
3,2:02,2,25,LAC 40,10,24,Derek Carr pass incomplete short left intended for Davante Adams (defended by Asante Samuel),1.34,0.69
3,1:53,3,25,LAC 40,10,24,Derek Carr pass complete short right to Brandon Bolden for 3 yards (tackle by Asante Samuel and Kenneth Murray),0.69,0.79
3,1:08,4,22,LAC 37,13,24,Daniel Carlson 55 yard field goal good,0.79,3
3,1:03,,,LVR 35,13,24,"Daniel Carlson kicks off 65 yards, touchback.",0,0.61
3,1:03,1,10,LAC 25,13,24,Austin Ekeler left end for 2 yards (tackle by Maxx Crosby),0.61,0.33
3,0:29,2,8,LAC 27,13,24,Austin Ekeler up the middle for 3 yards (tackle by Divine Deablo),0.33,0.04
4,15:00,3,5,LAC 30,13,24,Justin Herbert pass incomplete deep right intended for DeAndre Carter,0.04,-1.37
4,14:53,4,5,LAC 30,13,24,"JK Scott punts 51 yards, returned by Hunter Renfrow for 4 yards (tackle by Drue Tranquill)",-1.37,-0.48
4,14:41,1,10,LVR 23,13,24,Derek Carr pass complete short right to Darren Waller for 10 yards (tackle by Drue Tranquill),0.48,1.14
4,14:03,1,10,LVR 33,13,24,Derek Carr pass complete short middle to Darren Waller for 23 yards (tackle by Nasir Adderley and Bryce Callahan),1.14,2.65
4,13:20,1,10,LAC 44,13,24,"Derek Carr pass intended for Davante Adams is intercepted by Asante Samuel in end zone and returned for no gain Replay Assistant challenged the touchback ruling, and the original play was overturned. Derek Carr pass deep left intended for Davante Adams is intercepted by Asante Samuel at LAC-2 and returned for no gain",2.65,0.38
4,13:10,1,10,LAC 2,13,24,Austin Ekeler left end for -1 yards (tackle by Chandler Jones),-0.38,-0.85
4,12:41,2,11,LAC 1,13,24,Justin Herbert pass incomplete short right intended for Tre' McKitty,-0.85,-1.54
4,12:33,3,11,LAC 1,13,24,Penalty on Matt Feiler: False Start (accepted) (no play),-1.54,-1.54
4,12:33,3,11,LAC 1,13,24,Justin Herbert pass complete short left to Austin Ekeler for 10 yards (tackle by Duron Harmon and Johnathan Abram),-1.54,-2.49
4,11:50,4,1,LAC 11,13,24,"JK Scott punts 49 yards, fair catch by Hunter Renfrow at LV-40",-2.49,-1.6
4,11:39,1,10,LVR 40,13,24,Josh Jacobs left end for 8 yards (tackle by Drue Tranquill),1.6,2.07
4,11:11,2,3,LVR 48,13,24,Derek Carr pass short left intended for Hunter Renfrow is intercepted by Bryce Callahan at LAC-49 and returned for 2 yards (tackle by Hunter Renfrow),2.07,-2.32
4,11:00,1,10,LVR 49,13,24,Austin Ekeler right guard for 3 yards (tackle by Jayon Brown and Nate Hobbs),2.32,2.19
4,10:21,2,7,LVR 46,13,24,Justin Herbert pass complete short right to Mike Williams for 6 yards (tackle by Jayon Brown and Nate Hobbs),2.19,2.28
4,9:48,3,1,LVR 40,13,24,Josh Palmer right end for 4 yards (tackle by Johnathan Abram and Rock Ya-Sin),2.28,3.18
4,9:07,1,10,LVR 36,13,24,Sony Michel right tackle for 6 yards (tackle by Kendal Vickers and Johnathan Abram),3.18,3.45
4,8:25,2,4,LVR 30,13,24,Sony Michel right guard for -1 yards (tackle by Maxx Crosby and Divine Deablo),3.45,2.61
4,7:45,3,5,LVR 31,13,24,Justin Herbert pass incomplete deep right intended for Jalen Guyton,2.61,1.35
4,7:37,4,5,LVR 31,13,24,Dustin Hopkins 49 yard field goal no good,1.35,-1.53
4,7:33,1,10,LVR 39,13,24,Derek Carr pass complete short right to Josh Jacobs for 16 yards (tackle by Kenneth Murray),1.53,2.59
4,7:04,1,10,LAC 45,13,24,Derek Carr pass incomplete short middle intended for Davante Adams (defended by Bryce Callahan),2.59,2.04
4,6:53,2,10,LAC 45,13,24,Josh Jacobs right guard for 6 yards (tackle by Drue Tranquill),2.04,2.15
4,6:11,3,4,LAC 39,13,24,Derek Carr pass complete short left to Hunter Renfrow for 5 yards (tackle by Michael Davis),2.15,3.31
4,5:28,1,10,LAC 34,13,24,Derek Carr pass complete deep right to Darren Waller for 31 yards (tackle by Derwin James),3.31,6.51
4,4:40,1,3,LAC 3,13,24,Derek Carr pass incomplete short left intended for Davante Adams,6.51,5.53
4,4:36,2,3,LAC 3,19,24,"Derek Carr pass complete short right to Davante Adams for 3 yards, touchdown",5.53,7
4,4:32,,,LAC 2,19,24,"Penalty on Michael Davis: Defensive Pass Interference, 1 yard (accepted) (no play)",0,6.97
4,4:32,1,1,LAC 1,19,24,"Penalty on Jermaine Eluemunor: False Start, 5 yards (accepted) (no play)",6.97,1
4,4:32,1,6,LAC 2,19,24,Two Point Attempt: Derek Carr pass incomplete,1,-1
4,4:32,,,LVR 35,19,24,"Daniel Carlson kicks off 65 yards, touchback.",0,0.61
4,4:32,1,10,LAC 25,19,24,Justin Herbert pass complete short right to Mike Williams for 4 yards (tackle by Nate Hobbs and Roderic Teamer),0.61,0.6
4,3:49,2,6,LAC 29,19,24,Sony Michel right end for 3 yards (tackle by Maxx Crosby and Jayon Brown),0.6,0.3
4,3:42,,,,,,Timeout #1 by Las Vegas Raiders,,
4,3:42,3,3,LAC 32,19,24,Justin Herbert pass incomplete short left intended for Mike Williams (defended by Nate Hobbs),0.3,-1.24
4,3:39,4,3,LAC 32,19,24,"JK Scott punts 47 yards, returned by Hunter Renfrow for no gain (tackle by Ja'Sir Taylor)",-1.24,-0.34
4,3:30,1,10,LVR 21,19,24,Derek Carr pass complete short right to Davante Adams for 12 yards (tackle by Asante Samuel),0.34,1.14
4,3:25,1,10,LVR 33,19,24,Derek Carr pass complete short right to Hunter Renfrow for 7 yards (tackle by Bryce Callahan),1.14,1.54
4,2:45,2,3,LVR 40,19,24,Derek Carr pass incomplete short left intended for Davante Adams (defended by Austin Johnson),1.54,0.83
4,2:40,3,3,LVR 40,19,24,"Derek Carr sacked by and Joey Bosa for -5 yards and Morgan Fox for -5 yards. Derek Carr fumbles (forced by Joey Bosa), recovered by John Simpson at LV-35 and returned for 5 yards",0.83,-1.04
4,2:00,4,8,LVR 35,19,24,"Derek Carr sacked by Khalil Mack for -7 yards. Derek Carr fumbles (forced by Khalil Mack), recovered by Kolton Miller at LV-28 (tackle by Khalil Mack)",-1.04,-3.71
4,1:52,1,10,LVR 28,19,24,Austin Ekeler left end for 6 yards (tackle by Divine Deablo and Johnathan Abram),3.71,3.98
4,1:46,,,,,,Timeout #2 by Las Vegas Raiders,,
4,1:46,2,4,LVR 22,19,24,Austin Ekeler up the middle for 2 yards (tackle by Maxx Crosby and Johnathan Hankins),3.98,3.53
4,1:41,,,,,,Timeout #3 by Las Vegas Raiders,,
4,1:41,3,2,LVR 20,19,24,Sony Michel up the middle for 3 yards (tackle by Johnathan Abram),3.53,4.44
4,0:59,1,10,LVR 17,19,24,Justin Herbert kneels for no gain (no play),4.44,4.11
4,0:53,1,15,LVR 22,19,24,Justin Herbert kneels for -1 yards,4.11,3.08
4,0:34,2,16,LVR 23,19,24,Justin Herbert kneels for -1 yards,3.08,2.28
