Quarter,Time,Down,ToGo,Location,LAC,JAX,Detail,EPB,EPA
3,9:07,2,5,LAC 46,27,7,Trevor Lawrence pass complete short right to Evan Engram for 24 yards (tackle by Bryce Callahan),2.32,4.11
3,8:36,1,10,LAC 22,27,7,Travis Etienne up the middle for 3 yards (tackle by Morgan Fox),4.11,3.97
3,8:01,2,7,LAC 19,27,7,Trevor Lawrence pass incomplete deep left intended for Zay Jones (defended by Asante Samuel),3.97,3.26
3,7:55,3,7,LAC 19,27,7,"Trevor Lawrence sacked by Bryce Callahan for no gain. Penalty on Joey Bosa: Defensive Offside, 5 yards (accepted) (no play)",3.26,4.15
3,7:33,3,2,LAC 14,27,7,Travis Etienne left end for 7 yards (tackle by Asante Samuel),4.15,5.6
3,6:45,1,7,LAC 7,27,7,Trevor Lawrence pass complete short right to Jamal Agnew for 2 yards (tackle by Kyle Van Noy),5.6,5.15
3,6:13,2,5,LAC 5,27,7,Travis Etienne right end for 4 yards (tackle by Kenneth Murray and Derwin James),5.15,5.17
3,5:24,3,1,LAC 1,27,7,"Penalty on JAX: Delay of Game, 5 yards (accepted) (no play)",5.17,4.04
3,5:16,3,6,LAC 6,27,13,"Trevor Lawrence pass complete short left to Marvin Jones for 6 yards, touchdown",4.04,7
3,5:11,,,LAC 15,27,14,Riley Patterson kicks extra point good,0,0
3,5:11,,,JAX 35,27,14,"Riley Patterson kicks off 62 yards, returned by Michael Bandy for 20 yards (tackle by Tim Jones)",0,0.48
3,5:06,1,10,LAC 23,27,14,Justin Herbert pass complete deep right to Gerald Everett for 21 yards (tackle by Foyesade Oluokun),0.48,1.86
3,4:44,1,10,LAC 44,27,14,Justin Herbert pass incomplete short right intended for Gerald Everett,1.86,1.32
3,4:39,2,10,LAC 44,27,14,Justin Herbert pass complete short left to Gerald Everett for 25 yards (tackle by K'Lavon Chaisson and Darious Williams),1.32,3.51
3,3:52,1,10,JAX 31,27,14,Austin Ekeler left end for -1 yards (tackle by Devin Lloyd and Roy Robertson-Harris),3.51,2.83
3,3:12,2,11,JAX 32,27,14,Justin Herbert pass incomplete short left intended for Austin Ekeler,2.83,2.15
3,3:07,3,11,JAX 32,27,14,Justin Herbert pass incomplete short right intended for Keenan Allen,2.15,1.24
3,3:02,4,11,JAX 32,30,14,Cameron Dicker 50 yard field goal good,1.24,3
3,2:58,,,LAC 35,30,14,"Cameron Dicker kicks off 69 yards, returned by Jamal Agnew for 36 yards (tackle by Troy Reeder)",0,1.07
3,2:51,1,10,JAX 32,30,14,Travis Etienne right end for 5 yards (tackle by Kyle Van Noy),1.07,1.2
3,2:15,2,5,JAX 37,30,14,Trevor Lawrence pass complete short right to Marvin Jones for 11 yards (tackle by Derwin James),1.2,2.13
3,1:43,1,10,JAX 48,30,14,Travis Etienne up the middle for 8 yards (tackle by Drue Tranquill and Derwin James),2.13,2.66
3,1:25,2,2,LAC 44,30,14,Travis Etienne up the middle for 5 yards (tackle by Derwin James and Kenneth Murray),2.66,2.98
3,0:50,1,10,LAC 39,30,20,"Trevor Lawrence pass complete deep left to Zay Jones for 39 yards, touchdown",2.98,7
3,0:44,,,LAC 2,30,20,Two Point Attempt: Trevor Lawrence pass incomplete intended for Zay Jones,1,-1
3,0:44,,,JAX 35,30,20,"Penalty on Joey Bosa: Unsportsmanlike Conduct / Defense, 15 yards (accepted) (no play)",0,-2.26
3,0:44,1,10,JAX 50,30,20,"Riley Patterson kicks off 46 yards, returned by Michael Bandy for 16 yards (tackle by Chris Claybrooks)",2.26,0.28
3,0:36,1,10,LAC 20,30,20,Austin Ekeler left end for no gain (tackle by Roy Robertson-Harris and Travon Walker),0.28,-0.27
4,15:00,2,10,LAC 20,30,20,"Penalty on Foster Sarell: False Start, 5 yards (accepted) (no play)",-0.27,-1.07
4,15:00,2,15,LAC 15,30,20,Justin Herbert pass complete short middle to Josh Palmer for 18 yards (tackle by Andre Cisco),-1.07,1.14
4,14:24,1,10,LAC 33,30,20,Joshua Kelley up the middle for 4 yards (tackle by Josh Allen and Tyson Campbell),1.14,1.13
4,13:47,2,6,LAC 37,30,20,"Justin Herbert sacked by and Folorunso Fatukasi for -7 yards and Travon Walker for -7 yards. Penalty on Travon Walker: Personal Foul / Defense, 15 yards (accepted)",1.13,1.93
4,13:30,1,10,LAC 45,30,20,Austin Ekeler up the middle for 1 yard (tackle by Foyesade Oluokun),1.93,1.52
4,12:53,2,9,LAC 46,30,20,Justin Herbert pass incomplete deep right intended for Keenan Allen,1.52,0.83
4,12:48,3,9,LAC 46,30,20,Justin Herbert scrambles right end for 13 yards (tackle by Rayshawn Jenkins),0.83,2.85
4,11:52,,,,,,Timeout #1 by Los Angeles Chargers,,
4,11:52,1,10,JAX 41,30,20,"Justin Herbert pass incomplete intended for Keenan Allen. Penalty on Zion Johnson: Ineligible Downfield Pass, 5 yards (accepted) (no play)",2.85,2.52
4,11:52,1,15,JAX 46,30,20,Justin Herbert pass incomplete short left intended for Keenan Allen (defended by Roy Robertson-Harris),2.52,1.63
4,11:48,2,15,JAX 46,30,20,Justin Herbert pass complete short middle to Tre' McKitty for 11 yards (tackle by Rayshawn Jenkins),1.63,2.41
4,11:09,3,4,JAX 35,30,20,Justin Herbert pass complete short middle to Keenan Allen for 6 yards (tackle by Andre Cisco),2.41,3.64
4,10:28,1,10,JAX 29,30,20,Austin Ekeler left end for 4 yards (tackle by Foyesade Oluokun),3.64,3.64
4,9:45,2,6,JAX 25,30,20,Joshua Kelley left end for 3 yards (tackle by Foyesade Oluokun),3.64,3.34
4,9:02,3,3,JAX 22,30,20,"Justin Herbert pass incomplete deep right intended for Josh Palmer. Penalty on Austin Ekeler: Offensive Holding, 10 yards (declined)",3.34,2.09
4,8:51,4,3,JAX 22,30,20,Cameron Dicker 40 yard field goal no good,2.09,-0.94
4,8:47,1,10,JAX 30,30,20,Trevor Lawrence sacked by Khalil Mack for -9 yards,0.94,-0.82
4,7:59,2,19,JAX 21,30,20,"Trevor Lawrence pass incomplete short left intended for Marvin Jones. Penalty on Ja'Sir Taylor: Defensive Pass Interference, 6 yards (accepted) (no play)",-0.82,0.74
4,7:57,1,10,JAX 27,30,20,Travis Etienne left tackle for 6 yards (tackle by Breiden Fehoko),0.74,1.01
4,7:27,2,4,JAX 33,30,20,"Trevor Lawrence pass complete short right to Zay Jones for 8 yards (tackle by Bryce Callahan) LAC challenged the pass completion ruling, and the play was upheld.",1.01,1.66
4,7:04,1,10,JAX 41,30,20,Trevor Lawrence pass complete short left to Christian Kirk for 12 yards (tackle by Drue Tranquill),1.66,2.46
4,6:35,1,10,LAC 47,30,20,Trevor Lawrence pass incomplete short right intended for Marvin Jones,2.46,1.91
4,6:30,2,10,LAC 47,30,20,Trevor Lawrence pass complete short left to Christian Kirk for 17 yards (tackle by Derwin James),1.91,3.58
4,6:15,1,10,LAC 30,30,20,Trevor Lawrence pass complete short middle to Evan Engram for 21 yards (tackle by Ja'Sir Taylor),3.58,5.14
4,5:36,1,9,LAC 9,30,20,Trevor Lawrence pass incomplete short middle intended for Evan Engram,5.14,4.38
4,5:30,2,9,LAC 9,30,26,"Trevor Lawrence pass complete short right to Christian Kirk for 9 yards, touchdown",4.38,7
4,5:25,,,LAC 15,30,26,"Penalty on Joey Bosa: Unsportsmanlike Conduct / Defense, 1 yard (accepted) (no play)",0,1
4,5:25,1,1,LAC 1,30,28,"Two Point Attempt: Trevor Lawrence rushes, conversion succeeds.",1,1
4,5:25,,,JAX 35,30,28,"Logan Cooke kicks off 65 yards, touchback.",0,0.61
4,5:25,1,10,LAC 25,30,28,Justin Herbert sacked by Roy Robertson-Harris for -7 yards,0.61,-0.98
