Quarter,Time,Down,ToGo,Location,SEA,LAC,Detail,EPB,EPA
2,1:46,2,10,LAC 23,23,14,"Geno Smith pass complete deep left to Marquise Goodwin for 23 yards, touchdown",3.5,7
2,1:40,,,LAC 15,24,14,Jason Myers kicks extra point good,0,0
2,1:40,,,SEA 35,24,14,"Jason Myers kicks off 65 yards, touchback.",0,0.61
2,1:40,1,10,LAC 25,24,14,Justin Herbert pass complete short left to Austin Ekeler for 5 yards (tackle by Ryan Neal),0.61,0.6
2,1:24,2,6,LAC 29,24,14,Justin Herbert pass complete short left to Austin Ekeler for 6 yards (tackle by Uchenna Nwosu),0.6,1.33
2,1:04,1,10,LAC 36,24,14,Justin Herbert pass complete short right to Gerald Everett for 11 yards (tackle by Jordyn Brooks),1.33,2.06
2,0:46,1,10,LAC 47,24,14,Justin Herbert pass incomplete short right intended for Michael Bandy,2.06,1.52
2,0:42,2,10,LAC 47,24,14,Justin Herbert pass incomplete short right intended for Michael Bandy (defended by Poona Ford),1.52,0.83
2,0:38,3,10,LAC 47,24,14,Justin Herbert pass incomplete deep right intended for Michael Bandy,0.83,-0.26
2,0:34,4,10,LAC 47,24,14,"Penalty on Deane Leonard: False Start, 5 yards (accepted) (no play)",-0.26,-0.59
2,0:34,4,15,LAC 42,24,14,JK Scott punts 49 yards out of bounds,-0.59,0.38
2,0:25,1,10,SEA 9,24,14,Geno Smith kneels for -1 yards,-0.38,-0.85
3,15:00,,,SEA 35,24,14,"Jason Myers kicks off 60 yards, returned by DeAndre Carter for 18 yards (tackle by Nick Bellore)",0,0.48
3,14:54,1,10,LAC 23,24,14,Austin Ekeler right end for 2 yards (tackle by Jordyn Brooks),0.48,0.2
3,14:36,2,8,LAC 25,24,14,Justin Herbert pass complete short right to Mike Williams for 16 yards (tackle by Cody Barton),0.2,1.66
3,14:02,1,10,LAC 41,24,14,Justin Herbert pass complete short left to Austin Ekeler for 12 yards (tackle by Ryan Neal),1.66,2.46
3,13:23,1,10,SEA 47,24,14,Justin Herbert pass incomplete short left intended for Sony Michel,2.46,1.91
3,13:16,2,10,SEA 47,24,14,"Justin Herbert pass complete to Austin Ekeler for no gain. Penalty on Michael Bandy: Offensive Pass Interference, 10 yards (accepted) (no play)",1.91,0.56
3,12:47,2,20,LAC 43,24,14,Justin Herbert pass complete short right to DeAndre Carter for 9 yards (tackle by Coby Bryant),0.56,1.09
3,12:11,3,11,SEA 48,24,14,Justin Herbert pass complete short right to Austin Ekeler for no gain (tackle by Ryan Neal),1.09,0.07
3,11:34,4,11,SEA 48,24,14,JK Scott punts 41 yards downed by Ja'Sir Taylor,0.07,0.38
3,11:26,1,10,SEA 7,24,14,Kenneth Walker left end for 3 yards (tackle by Asante Samuel),-0.38,-0.56
3,10:55,2,7,SEA 10,24,14,Geno Smith pass complete short right to Will Dissly for 10 yards (tackle by Drue Tranquill),-0.56,0.28
3,10:16,1,10,SEA 20,24,14,Kenneth Walker left tackle for 19 yards (tackle by Nasir Adderley),0.28,1.53
3,9:44,1,10,SEA 39,24,14,Geno Smith pass complete short left to Tyler Lockett for 6 yards (tackle by Derwin James),1.53,1.8
3,9:07,2,4,SEA 45,24,14,Kenneth Walker left tackle for 8 yards (tackle by Michael Davis),1.8,2.46
3,8:28,1,10,LAC 47,24,14,Kenneth Walker left end for 2 yards (tackle by Khalil Mack),2.46,2.18
3,7:34,2,8,LAC 45,24,14,Geno Smith pass complete short middle to DeeJay Dallas for 3 yards (tackle by Drue Tranquill),2.18,1.88
3,6:48,3,5,LAC 42,24,14,"Penalty on Austin Blythe: False Start, 6 yards (accepted) (no play)",1.88,1.22
3,6:18,,,,,,Timeout #1 by Seattle Seahawks,,
3,6:18,3,10,LAC 47,24,14,Geno Smith pass complete short left to Tyler Lockett for 12 yards (tackle by Asante Samuel),1.22,3.18
3,5:41,1,10,LAC 36,24,14,D'Wayne Eskridge right end for 4 yards (tackle by Nasir Adderley),3.18,3.18
3,5:05,2,6,LAC 32,24,14,Geno Smith pass complete short right to Tyler Lockett for 14 yards (tackle by Michael Davis),3.18,4.37
3,4:29,1,10,LAC 18,24,14,Kenneth Walker up the middle for -2 yards (tackle by Austin Johnson and Derrek Tuszka),4.37,3.56
3,3:49,2,12,LAC 20,24,14,"Geno Smith pass incomplete intended for Noah Fant. Penalty on Jerry Tillery: Defensive Offside, 6 yards (accepted) (no play)",3.56,4.43
3,3:44,2,6,LAC 14,24,14,Kenneth Walker right guard for 3 yards (tackle by Kenneth Murray),4.43,4.26
3,3:04,3,3,LAC 11,24,14,Geno Smith pass complete short left to Tyler Lockett for 5 yards (tackle by Michael Davis),4.26,5.83
3,2:35,1,6,LAC 6,24,14,Geno Smith pass incomplete short right intended for D'Wayne Eskridge,5.83,4.95
3,2:29,2,6,LAC 6,24,14,Kenneth Walker left end for -1 yards (tackle by Michael Davis and Bryce Callahan),4.95,0
3,1:51,3,7,LAC 6,24,14,Geno Smith sacked by Morgan Fox for -9 yards,0,2.38
3,1:10,4,16,LAC 16,27,14,Jason Myers 34 yard field goal good,2.38,3
3,1:06,,,SEA 35,27,14,"Jason Myers kicks off 65 yards, touchback.",0,0.61
3,1:06,1,10,LAC 25,27,14,Justin Herbert scrambles right end for 4 yards (tackle by Michael Jackson),0.61,0.6
3,0:33,2,6,LAC 29,27,14,"Isaiah Spiller left end for -5 yards (tackle by Shelby Harris and Uchenna Nwosu). Penalty on Corey Linsley: Offensive Holding, 10 yards (declined)",0.6,-0.76
3,0:11,3,11,LAC 24,27,14,Justin Herbert pass complete short middle to Gerald Everett for 24 yards (tackle by Josh Jones and Coby Bryant),-0.76,2.13
4,15:00,1,10,LAC 48,27,14,Justin Herbert pass complete short right to Mike Williams for no gain (tackle by Michael Jackson),2.13,1.58
4,14:44,2,10,LAC 48,27,14,Justin Herbert pass incomplete deep left intended for Mike Williams,1.58,0.89
4,14:37,3,10,LAC 48,27,14,Justin Herbert pass incomplete short left intended for Gerald Everett,0.89,-0.19
4,14:34,4,10,LAC 48,27,14,JK Scott punts 50 yards downed by Ja'Sir Taylor,-0.19,0.38
4,14:20,1,10,SEA 2,27,16,"Kenneth Walker for -2 yards (tackle by Sebastian Joseph-Day and Troy Reeder), safety.",-0.38,-2
4,14:17,,,SEA 20,27,16,"Michael Dickson kicks off 65 yards, returned by DeAndre Carter for 14 yards (tackle by Cody Barton)",0,0.87
4,14:11,1,10,LAC 29,27,16,Justin Herbert scrambles right end for 4 yards (tackle by Cody Barton),0.87,0.87
4,13:40,2,6,LAC 33,27,16,Justin Herbert pass complete short middle to Justin Herbert for -8 yards (tackle by Uchenna Nwosu),0.87,-0.89
4,13:00,3,14,LAC 25,27,16,Justin Herbert pass incomplete short right intended for Michael Bandy (defended by Michael Jackson),-0.89,-1.7
4,12:56,4,14,LAC 25,27,16,JK Scott punts 38 yards downed by Ja'Sir Taylor,-1.7,-1.4
4,12:47,1,10,SEA 37,27,16,Geno Smith pass complete short left to Tyler Lockett for 1 yard (tackle by Drue Tranquill),1.4,0.99
4,12:06,2,9,SEA 38,27,16,Kenneth Walker right tackle for 12 yards (tackle by Kenneth Murray),0.99,2.26
4,11:24,1,10,SEA 50,27,16,Kenneth Walker right tackle for 3 yards (tackle by Drue Tranquill),2.26,2.12
4,10:47,2,7,LAC 47,27,16,"Geno Smith pass incomplete intended for Colby Parkinson. Penalty on Derwin James: Defensive Pass Interference, 13 yards (accepted) (no play)",2.12,3.31
4,10:43,1,10,LAC 34,27,16,Kenneth Walker left tackle for 2 yards (tackle by Derwin James),3.31,3.04
4,10:08,2,8,LAC 32,27,16,Geno Smith pass complete short left to Tyler Lockett for no gain (tackle by Drue Tranquill),3.04,2.35
4,9:18,3,8,LAC 32,27,16,Geno Smith pass incomplete short right intended for Marquise Goodwin (defended by Asante Samuel),2.35,1.24
4,9:13,4,8,LAC 32,30,16,Jason Myers 50 yard field goal good,1.24,3
4,9:09,,,SEA 35,30,16,"Jason Myers kicks off 65 yards, touchback.",0,0.61
4,9:09,1,10,LAC 25,30,16,Justin Herbert pass complete short middle to Mike Williams for 21 yards (tackle by Darrell Taylor),0.61,1.99
4,8:44,1,10,LAC 46,30,16,Justin Herbert pass incomplete short right intended for Michael Bandy,1.99,1.45
4,8:40,2,10,LAC 46,30,16,Justin Herbert pass complete deep left to Gerald Everett for 19 yards (tackle by Coby Bryant),1.45,3.25
4,8:19,1,10,SEA 35,30,16,Justin Herbert pass incomplete short middle intended for DeAndre Carter (defended by Shelby Harris),3.25,2.7
4,8:16,2,10,SEA 35,30,16,Justin Herbert pass complete short right to Jason Moore for 5 yards (tackle by Cody Barton),2.7,2.54
4,7:36,3,6,SEA 31,30,16,Justin Herbert sacked by Quinton Jefferson for -8 yards,2.54,0.72
4,7:08,4,13,SEA 38,30,16,"Justin Herbert pass complete short middle to Mike Williams for 12 yards (tackle by Michael Jackson). Penalty on Corey Linsley: Offensive Holding, 10 yards (declined)",0.72,-0.67
4,7:08,1,10,SEA 26,36,16,"Kenneth Walker right end for 74 yards, touchdown",0.67,7
4,6:56,,,LAC 15,37,16,Jason Myers kicks extra point good,0,0
4,6:56,,,SEA 35,37,16,"Jason Myers kicks off 65 yards, touchback.",0,0.61
4,6:56,1,10,LAC 25,37,16,Austin Ekeler right guard for 13 yards (tackle by Michael Jackson),0.61,1.47
4,6:38,1,10,LAC 38,37,16,Justin Herbert pass incomplete deep right intended for Gerald Everett (defended by Ryan Neal),1.47,0.92
4,6:33,2,10,LAC 38,37,16,Justin Herbert pass complete short middle to Austin Ekeler for 14 yards (tackle by Cody Barton),0.92,2.39
4,6:12,1,10,SEA 48,37,16,"Justin Herbert pass complete short right to DeAndre Carter for 6 yards (tackle by Coby Bryant). Penalty on Coby Bryant: Unnecessary Roughness / Defense, 15 yards (accepted)",2.39,3.78
4,5:53,1,10,SEA 27,37,16,Justin Herbert pass complete short left to Austin Ekeler for 6 yards (tackle by Bruce Irvin),3.78,4.04
4,5:25,2,4,SEA 21,37,16,Justin Herbert pass incomplete deep left intended for Jason Moore (defended by Ryan Neal),4.04,3.34
4,5:20,3,4,SEA 21,37,16,Justin Herbert scrambles up the middle for 14 yards (tackle by Ryan Neal),3.34,5.6
4,4:46,1,7,SEA 7,37,16,Justin Herbert pass complete short left to Austin Ekeler for 2 yards (tackle by Ryan Neal),5.6,5.15
4,4:13,2,5,SEA 5,37,16,Justin Herbert pass incomplete short left intended for Gerald Everett,5.15,4.26
4,4:08,3,5,SEA 5,37,16,Justin Herbert pass complete short right to Gerald Everett for 2 yards (tackle by Boye Mafe),4.26,3.04
4,3:34,4,3,SEA 3,37,16,"Justin Herbert pass is intercepted by Coby Bryant in end zone and returned for no gain. Penalty on Uchenna Nwosu: Defensive Offside, 2 yards (accepted) (no play)",3.04,3.55
4,3:26,4,1,SEA 1,37,22,"Justin Herbert pass complete short right to Austin Ekeler for 1 yard, touchdown",3.55,7
4,3:22,,,SEA 15,37,23,Taylor Bertolet kicks extra point good,0,0
4,3:22,,,,,,Timeout #2 by Seattle Seahawks,,
4,3:22,,,LAC 35,37,23,"Taylor Bertolet kicks onside 10 yards, returned by Will Dissly for no gain",0,2.59
4,3:21,1,10,LAC 45,37,23,DeeJay Dallas left guard for 1 yard (tackle by Otito Ogbonnia),2.59,2.18
4,2:37,2,9,LAC 44,37,23,DeeJay Dallas right tackle for 1 yard (tackle by Kenneth Murray),2.18,1.62
4,2:00,3,8,LAC 43,37,23,DeeJay Dallas right end for 9 yards (tackle by Kyle Van Noy and Michael Davis),1.62,3.31
4,1:13,1,10,LAC 34,37,23,DeeJay Dallas right tackle for 4 yards (tackle by Austin Johnson and Sebastian Joseph-Day),3.31,3.31
4,0:35,2,6,LAC 30,37,23,Geno Smith kneels for -1 yards,3.31,2.48
