Quarter,Time,Down,ToGo,Location,KAN,LAC,Detail,EPB,EPA
3,3:57,3,17,KAN 7,16,20,Patrick Mahomes pass complete to Justin Watson for 25 yards (tackle by Derwin James),-2.24,1.07
3,3:21,1,10,KAN 32,16,20,Patrick Mahomes pass complete short right to Noah Gray for 12 yards (tackle by Drue Tranquill),1.07,1.86
3,2:45,1,10,KAN 44,16,20,Patrick Mahomes pass incomplete deep left intended for Marquez Valdes-Scantling,1.86,1.32
3,2:37,2,10,KAN 44,16,20,Isiah Pacheco up the middle for 3 yards (tackle by Joe Gaziano and Sebastian Joseph-Day),1.32,1.03
3,1:57,3,7,KAN 47,16,20,Patrick Mahomes pass complete to Skyy Moore for 15 yards (tackle by Nasir Adderley),1.03,3.05
3,1:21,1,10,LAC 38,16,20,Jerick McKinnon right tackle for 6 yards (tackle by Derwin James and Nasir Adderley),3.05,3.32
3,0:42,2,4,LAC 32,16,20,Jerick McKinnon left guard for no gain (tackle by Derrek Tuszka),3.32,2.61
4,15:00,3,4,LAC 32,22,20,"Patrick Mahomes pass complete short right to Travis Kelce for 32 yards, touchdown",2.61,7
4,14:50,,,LAC 15,23,20,Harrison Butker kicks extra point good,0,0
4,14:50,,,KAN 35,23,20,"Harrison Butker kicks off 65 yards, touchback.",0,0.61
4,14:50,1,10,LAC 25,23,20,Austin Ekeler right end for 9 yards (tackle by L'Jarius Sneed),0.61,1.28
4,14:10,2,1,LAC 34,23,20,Isaiah Spiller up the middle for no gain (tackle by Carlos Dunlap),1.28,0.56
4,13:26,3,1,LAC 34,23,20,Sony Michel right guard for 1 yard (tackle by Nick Bolton and Willie Gay),0.56,1.27
4,12:45,1,10,LAC 35,23,20,Justin Herbert pass complete short middle to Austin Ekeler for 6 yards (tackle by Nick Bolton),1.27,1.53
4,12:00,2,4,LAC 41,23,20,Austin Ekeler up the middle for 3 yards (tackle by Leo Chenal and Khalen Saunders),1.53,1.22
4,11:28,3,1,LAC 44,23,20,Justin Herbert up the middle for 2 yards (tackle by Khalen Saunders),1.22,1.99
4,10:53,1,10,LAC 46,23,20,Justin Herbert pass complete short left to Austin Ekeler for 11 yards (tackle by Willie Gay),1.99,2.72
4,10:18,1,10,KAN 43,23,20,"Justin Herbert pass complete short right to Keenan Allen for 11 yards. Keenan Allen fumbles (forced by Nick Bolton), recovered by Frank Clark at KC-22",2.72,-0.41
4,10:09,1,10,KAN 22,23,20,Isiah Pacheco left end for no gain (tackle by Joe Gaziano),0.41,-0.13
4,9:33,2,10,KAN 22,23,20,Patrick Mahomes pass complete deep middle to Skyy Moore for 18 yards (tackle by Alohi Gilman),-0.13,1.6
4,8:45,1,10,KAN 40,23,20,Isiah Pacheco up the middle for 9 yards (tackle by Michael Davis),1.6,2.27
