Quarter,Time,Down,ToGo,Location,TEN,LAC,Detail,EPB,EPA
3,10:46,1,10,LAC 18,7,7,Justin Herbert pass complete short right to Gerald Everett for 21 yards (tackle by Jack Gibbens),0.04,1.53
3,10:24,1,10,LAC 39,7,7,Justin Herbert pass complete short right to Joshua Kelley for 7 yards (tackle by Greg Mabin),1.53,1.93
3,9:57,2,3,LAC 46,7,7,Justin Herbert pass complete short right to Mike Williams for 8 yards (tackle by Greg Mabin),1.93,2.52
3,9:20,1,10,TEN 46,7,7,"Justin Herbert scrambles left end for no gain (tackle by Joshua Kalu). Penalty on Matt Feiler: Offensive Holding, 10 yards (accepted) (no play)",2.52,1.86
3,8:55,1,20,LAC 44,7,7,Justin Herbert pass complete short left to Josh Palmer for 12 yards (tackle by Roger McCreary),1.86,2.25
3,8:27,2,8,TEN 44,7,7,Justin Herbert pass incomplete short left intended for DeAndre Carter,2.25,1.55
3,8:19,3,8,TEN 44,7,7,Justin Herbert pass incomplete short left intended for Mike Williams (defended by Roger McCreary),1.55,0.33
3,8:15,4,8,TEN 44,7,7,"JK Scott punts 31 yards, fair catch by Mason Kinsey at TEN-13",0.33,0.32
3,8:08,1,10,TEN 13,7,7,Derrick Henry right tackle for -1 yards (tackle by Breiden Fehoko),-0.32,-0.85
3,7:35,2,11,TEN 12,7,7,"Ryan Tannehill pass deep right intended for Racey McMath is intercepted by Nasir Adderley at TEN-48 and returned for no gain (tackle by Racey McMath). Penalty on Racey McMath: Offensive Pass Interference, 10 yards (declined)",-0.85,-2.39
3,7:23,1,10,TEN 48,7,7,Justin Herbert pass incomplete deep right intended for Gerald Everett,2.39,1.85
3,7:18,2,10,TEN 48,7,7,Austin Ekeler up the middle for 7 yards (tackle by Jack Gibbens),1.85,2.08
3,6:41,3,3,TEN 41,7,7,Justin Herbert pass complete short left to Keenan Allen for 12 yards (tackle by John Reid),2.08,3.64
3,6:07,1,10,TEN 29,7,7,Joshua Kelley up the middle for 2 yards (tackle by Joshua Kalu),3.64,3.37
3,5:30,2,8,TEN 27,7,7,"Justin Herbert pass short middle intended for Mike Williams is intercepted by Kevin Byard at TEN-17 and returned for 3 yards (tackle by Austin Ekeler). Penalty on Matt Feiler: Offensive Holding, 10 yards (declined)",3.37,-0.28
3,5:23,1,10,TEN 20,7,7,Ryan Tannehill pass complete deep right to Chigoziem Okonkwo for 18 yards (tackle by Kyle Van Noy and Alohi Gilman),0.28,1.47
3,4:42,1,10,TEN 38,7,7,Derrick Henry up the middle for 7 yards (tackle by Drue Tranquill),1.47,1.87
3,4:05,2,3,TEN 45,7,7,Derrick Henry right guard for 1 yard (tackle by Breiden Fehoko and Drue Tranquill),1.87,1.29
3,3:24,3,2,TEN 46,7,7,Ryan Tannehill pass incomplete short right intended for Chigoziem Okonkwo,1.29,-0.32
3,3:17,4,2,TEN 46,7,7,"Ryan Stonehouse punts 42 yards, fair catch by DeAndre Carter at LAC-12",-0.32,0.35
3,3:10,1,10,LAC 12,7,7,Justin Herbert pass incomplete short right intended for Gerald Everett,-0.35,-0.78
3,3:06,2,10,LAC 12,7,7,Joshua Kelley right guard for 3 yards (tackle by Rashad Weaver and Jeffery Simmons),-0.78,-1.07
3,2:27,3,7,LAC 15,7,7,Justin Herbert sacked by DeMarcus Walker for -6 yards,-1.07,-2.49
3,1:52,4,13,LAC 9,7,7,"JK Scott punts 45 yards, returned by Mason Kinsey for no gain (tackle by Kemon Hall)",-2.49,-1.99
3,1:43,1,10,TEN 46,7,7,Ryan Tannehill pass complete short left to Austin Hooper for 16 yards (tackle by Ja'Sir Taylor),1.99,3.05
3,1:09,1,10,LAC 38,7,7,Derrick Henry left guard for 13 yards (tackle by Nasir Adderley and Asante Samuel),3.05,3.91
3,0:28,1,10,LAC 25,7,7,Ryan Tannehill sacked by Joe Gaziano for -6 yards,3.91,2.55
4,15:00,2,16,LAC 31,7,7,Derrick Henry up the middle for 7 yards (tackle by Kyle Van Noy and Sebastian Joseph-Day),2.55,2.81
4,14:21,3,9,LAC 24,7,7,Ryan Tannehill sacked by Chris Rumph for -9 yards,2.81,1.15
4,13:41,4,18,LAC 33,7,7,Randy Bullock 51 yard field goal no good,1.15,-1.66
4,13:34,1,10,LAC 41,7,7,Austin Ekeler right guard for 1 yard (tackle by Tarell Basham and Jack Gibbens),1.66,1.26
4,13:12,2,9,LAC 42,7,7,Justin Herbert pass complete short right to Donald Parham for 8 yards (tackle by Greg Mabin and Jack Gibbens),1.26,1.62
4,12:37,3,1,LAC 50,7,7,Austin Ekeler left guard for 4 yards (tackle by Jack Gibbens and Jeffery Simmons),1.62,2.52
4,11:56,1,10,TEN 46,7,7,Justin Herbert pass complete deep left to Keenan Allen for 31 yards (tackle by Greg Mabin),2.52,4.58
4,11:18,1,10,TEN 15,7,7,Austin Ekeler right tackle for 12 yards (tackle by Andrew Adams and Monty Rice),4.58,6.51
4,10:34,1,3,TEN 3,7,13,"Austin Ekeler right guard for 3 yards, touchdown",6.51,7
4,10:28,,,TEN 15,7,14,Cameron Dicker kicks extra point good,0,0
4,10:28,,,LAC 35,7,14,"Cameron Dicker kicks off 65 yards, touchback.",0,0.61
4,10:28,1,10,TEN 25,7,14,Derrick Henry up the middle for 3 yards (tackle by Sebastian Joseph-Day and Breiden Fehoko),0.61,0.47
4,9:48,2,7,TEN 28,7,14,"Derrick Henry up the middle for no gain (tackle by Kyle Van Noy and Bryce Callahan). Penalty on Austin Hooper: Offensive Holding, 10 yards (accepted) (no play)",0.47,-0.98
4,9:27,2,17,TEN 18,7,14,Ryan Tannehill sacked by Kyle Van Noy for -6 yards,-0.98,-2.94
4,8:45,3,23,TEN 12,7,14,Chigoziem Okonkwo up the middle for 6 yards (tackle by Drue Tranquill),-2.94,-2.24
4,8:04,4,17,TEN 18,7,14,"Ryan Stonehouse punts 68 yards, returned by DeAndre Carter for 18 yards (tackle by Chigoziem Okonkwo)",-2.24,-1.07
4,7:50,1,10,LAC 32,7,14,"Austin Ekeler right tackle for 2 yards (tackle by Kevin Byard). Penalty on Kevin Byard: Face Mask (15 Yards), 15 yards (accepted)",1.07,2.19
4,7:40,1,10,LAC 49,7,14,Joshua Kelley left tackle for 1 yard (tackle by Kevin Byard and Tarell Basham),2.19,1.78
4,7:04,2,9,LAC 50,7,14,Justin Herbert pass complete short right to Gerald Everett for 5 yards (tackle by Dylan Cole),1.78,1.75
4,6:21,3,4,TEN 45,7,14,Justin Herbert pass incomplete deep right intended for Mike Williams,1.75,0.27
4,6:14,4,4,TEN 45,7,14,"JK Scott punts 45 yards, touchback.",0.27,-0.28
4,6:04,1,10,TEN 20,7,14,Derrick Henry right end for 8 yards (tackle by Khalil Mack and Alohi Gilman),0.28,0.81
4,5:29,2,2,TEN 28,7,14,Derrick Henry left tackle for 12 yards (tackle by Alohi Gilman),0.81,1.6
4,4:56,1,10,TEN 40,7,14,"Derrick Henry right guard for 1 yard. Derrick Henry fumbles (forced by Drue Tranquill), recovered by Ben Jones at TEN-41 (tackle by Drue Tranquill)",1.6,1.19
4,4:11,2,9,TEN 41,7,14,Ryan Tannehill pass incomplete short left intended for Austin Hooper (defended by Kenneth Murray),1.19,0.5
4,4:03,3,9,TEN 41,7,14,Ryan Tannehill sacked by Drue Tranquill for -7 yards,0.5,-1.11
4,3:27,4,16,TEN 34,7,14,"Ryan Stonehouse punts 61 yards, returned by DeAndre Carter for 10 yards (tackle by Andre Smith)",-1.11,0.22
4,3:19,1,10,LAC 15,7,14,Austin Ekeler up the middle for no gain (tackle by Jeffery Simmons and DeMarcus Walker),-0.22,-0.71
4,3:16,,,,,,Timeout #1 by Tennessee Titans,,
4,3:16,2,10,LAC 15,7,14,Justin Herbert pass incomplete short right,-0.71,-1.37
4,3:11,3,10,LAC 15,7,14,Justin Herbert pass complete short right to Austin Ekeler for 5 yards (tackle by Greg Mabin),-1.37,-2.03
4,3:05,,,,,,Timeout #2 by Tennessee Titans,,
4,3:05,4,5,LAC 20,7,14,"JK Scott punts 54 yards, fair catch by Mason Kinsey at TEN-26",-2.03,-0.67
4,2:57,1,10,TEN 26,7,14,Derrick Henry right end for 7 yards (tackle by Nasir Adderley),0.67,1.07
4,2:34,2,3,TEN 33,7,14,Derrick Henry up the middle for 3 yards (tackle by Khalil Mack),1.07,1.33
4,2:15,1,10,TEN 36,7,14,Ryan Tannehill pass complete short middle to Derrick Henry for 4 yards (tackle by Kenneth Murray),1.33,1.33
4,2:00,2,6,TEN 40,7,14,Ryan Tannehill pass complete short left to Chris Conley for 5 yards (tackle by Asante Samuel),1.33,1.29
4,1:43,3,1,TEN 45,7,14,Hassan Haskins right guard for 8 yards (tackle by Khalil Mack and Kenneth Murray),1.29,2.46
4,1:20,1,10,LAC 47,7,14,Ryan Tannehill pass complete short left to Hassan Haskins for -2 yards (tackle by Kenneth Murray),2.46,1.64
4,1:14,,,,,,Timeout #3 by Tennessee Titans,,
4,1:14,2,12,LAC 49,7,14,Ryan Tannehill pass complete short middle to Chigoziem Okonkwo for 28 yards (tackle by Alohi Gilman),1.64,4.17
4,1:07,1,10,LAC 21,7,14,Ryan Tannehill pass complete short middle to Austin Hooper for 17 yards (tackle by Nasir Adderley),4.17,6.28
4,0:59,,,,,,Timeout #1 by Los Angeles Chargers,,
4,0:59,1,4,LAC 4,7,14,Ryan Tannehill pass complete short left to Derrick Henry for 2 yards (tackle by Nasir Adderley),6.28,5.72
4,0:54,,,,,,Timeout #2 by Los Angeles Chargers,,
4,0:54,2,2,LAC 2,7,14,Derrick Henry up the middle for 1 yard (tackle by Tyeler Davison and Drue Tranquill),5.72,5.17
4,0:51,,,,,,Timeout #3 by Los Angeles Chargers,,
