Quarter,Time,Down,ToGo,Location,LAC,IND,Detail,EPB,EPA
2,10:35,1,10,IND 12,0,0,Austin Ekeler left guard for 7 yards (tackle by Rodney McLeod),4.78,5.41
2,10:02,2,3,IND 5,0,0,Austin Ekeler left guard for 2 yards (tackle by Stephon Gilmore and Rodney McLeod),5.41,5.06
2,9:26,3,1,IND 3,0,0,Justin Herbert up the middle for 2 yards (tackle by Rodney McLeod and Bobby Okereke),5.06,6.97
2,8:44,1,1,IND 1,6,0,"Austin Ekeler up the middle for 1 yard, touchdown",6.97,7
2,8:41,,,IND 15,7,0,Cameron Dicker kicks extra point good,0,0
2,8:41,,,LAC 35,7,0,"Cameron Dicker kicks off 74 yards, returned by Dallis Flowers for 22 yards (tackle by Raheem Layne)",0,-0.32
2,8:38,1,10,IND 13,7,0,"Zack Moss for no gain. Penalty on Mo Alie-Cox: Offensive Holding, 6 yards (accepted) (no play)",-0.32,-0.61
2,8:17,1,16,IND 7,7,0,Nick Foles pass complete short middle to Alec Pierce for 15 yards (tackle by Derwin James and Drue Tranquill),-0.61,0.49
2,7:42,2,1,IND 22,7,0,Zack Moss up the middle for 7 yards (tackle by Morgan Fox and Nasir Adderley),0.49,0.87
2,6:47,1,10,IND 29,7,0,"Penalty on Parris Campbell: False Start, 5 yards (accepted) (no play)",0.87,0.54
2,6:27,1,15,IND 24,7,0,"Nick Foles pass complete short right to Michael Pittman for 7 yards (tackle by Derwin James and Drue Tranquill). Penalty on Derwin James: Face Mask (15 Yards), 15 yards (accepted)",0.54,1.99
2,6:04,1,10,IND 46,7,0,Zack Moss right guard for 8 yards (tackle by Michael Davis),1.99,2.53
2,5:26,2,2,LAC 46,7,0,"Nick Foles pass incomplete intended for Ashton Dulin. Penalty on Derwin James: Disqualification / Defense, 15 yards (accepted) (no play)",2.53,3.51
2,5:19,1,10,LAC 31,7,0,Nick Foles pass incomplete deep left intended for Michael Pittman,3.51,2.97
2,5:13,2,10,LAC 31,7,0,Jordan Wilkins right tackle for 4 yards (tackle by Kenneth Murray),2.97,2.81
2,4:35,3,6,LAC 27,7,0,Nick Foles pass incomplete short right,2.81,1.7
2,4:26,4,6,LAC 27,7,3,Chase McLaughlin 46 yard field goal good,1.7,3
2,4:21,,,IND 35,7,3,"Chase McLaughlin kicks off 65 yards, touchback.",0,0.61
