Quarter,Time,Down,ToGo,Location,LAC,ATL,Detail,EPB,EPA
3,12:51,1,10,ATL 45,14,10,Tyler Allgeier left tackle for 2 yards (tackle by Morgan Fox and Nasir Adderley),1.93,1.65
3,12:11,2,8,ATL 47,14,10,Marcus Mariota pass incomplete short right intended for Damiere Byrd,1.65,0.96
3,12:04,3,8,ATL 47,14,10,Marcus Mariota pass complete short middle to Olamide Zaccheaus for 15 yards (tackle by Alohi Gilman),0.96,3.05
3,11:26,1,10,LAC 38,14,10,"Cordarrelle Patterson left end for no gain, touchdown. Penalty on Matt Hennessy: Offensive Holding, 10 yards (declined) . Penalty on Kaleb McGary: Tripping / Offense, 10 yards (accepted) (no play)",3.05,2.39
3,11:17,1,20,LAC 48,14,10,Marcus Mariota pass complete deep middle to KhaDarel Hodge for 19 yards (tackle by Nasir Adderley),2.39,3.72
3,10:51,2,1,LAC 29,14,10,Tyler Allgeier left tackle for 10 yards (tackle by Nasir Adderley and Derwin James),3.72,4.31
3,10:10,1,10,LAC 19,14,10,Tyler Allgeier left end for 8 yards (tackle by Michael Davis and Morgan Fox),4.31,5.14
3,9:32,2,2,LAC 11,14,10,"Marcus Mariota pass complete short left to Drake London for 5 yards. Drake London fumbles (forced by Khalil Mack), recovered by Khalil Mack at LAC-6 and returned for 44 yards (tackle by Olamide Zaccheaus and Drake London)",5.14,-2.26
3,9:15,1,10,ATL 50,14,10,Justin Herbert pass incomplete deep right intended for Michael Bandy,2.26,1.71
3,9:09,2,10,ATL 50,14,10,Austin Ekeler left tackle for 2 yards (tackle by DeAngelo Malone),1.71,1.29
3,8:39,3,8,ATL 48,14,10,Justin Herbert pass short middle intended for Josh Palmer is intercepted by Richie Grant at ATL-37 and returned for 10 yards (tackle by Corey Linsley),1.29,-2.06
3,8:27,1,10,ATL 47,14,10,Cordarrelle Patterson right tackle for 7 yards (tackle by Kenneth Murray),2.06,2.46
3,7:41,2,3,LAC 46,14,10,Marcus Mariota pass complete short right to Kyle Pitts for 9 yards (tackle by Derwin James),2.46,3.12
3,7:22,1,10,LAC 37,14,10,Cordarrelle Patterson right guard for 6 yards (tackle by Christian Covington and Drue Tranquill),3.12,3.38
3,6:45,2,4,LAC 31,14,10,Cordarrelle Patterson left tackle for 3 yards (tackle by Bryce Callahan),3.38,3.07
3,6:22,3,1,LAC 28,14,10,Cordarrelle Patterson left guard for 2 yards (tackle by Drue Tranquill),3.07,3.84
3,5:42,,,,,,Timeout #1 by Atlanta Falcons,,
3,5:42,1,10,LAC 26,14,10,Caleb Huntley right guard for 9 yards (tackle by Alohi Gilman and Drue Tranquill),3.84,4.64
3,5:04,2,1,LAC 17,14,10,Caleb Huntley left end for 8 yards (tackle by Otito Ogbonnia),4.64,5.14
3,4:40,1,9,LAC 9,14,10,Caleb Huntley left tackle for 6 yards (tackle by Kenneth Murray and Derwin James),5.14,5.53
3,3:53,2,3,LAC 3,14,10,Marcus Mariota pass incomplete short left intended for Drake London,5.53,4.72
3,3:48,3,3,LAC 3,14,16,"Cordarrelle Patterson left guard for 3 yards, touchdown",4.72,7
3,3:44,,,LAC 15,14,17,Younghoe Koo kicks extra point good,0,0
3,3:44,,,ATL 35,14,17,"Bradley Pinion kicks off 65 yards, touchback.",0,0.61
3,3:44,1,10,LAC 25,14,17,Isaiah Spiller right tackle for 7 yards (tackle by Rashaan Evans and Richie Grant),0.61,1.01
3,3:07,2,3,LAC 32,14,17,Isaiah Spiller right guard for 5 yards (tackle by Abdullah Anderson and Jalen Dalton),1.01,1.4
3,2:31,1,10,LAC 37,14,17,Justin Herbert pass incomplete short middle intended for Michael Bandy (defended by Abdullah Anderson),1.4,0.86
3,2:26,2,10,LAC 37,14,17,Justin Herbert pass incomplete deep left intended for DeAndre Carter,0.86,0.17
3,2:20,3,10,LAC 37,14,17,Justin Herbert pass complete to Josh Palmer for 3 yards (tackle by Richie Grant),0.17,-0.72
3,1:43,4,7,LAC 40,14,17,"JK Scott punts 40 yards, fair catch by Avery Williams at ATL-20",-0.72,-0.28
3,1:34,1,10,ATL 20,14,17,Tyler Allgeier left tackle for 4 yards (tackle by Khalil Mack),0.28,0.27
3,0:53,2,6,ATL 24,14,17,Tyler Allgeier left end for 6 yards (tackle by Drue Tranquill and Derwin James),0.27,0.94
3,0:46,1,10,ATL 30,14,17,Tyler Allgeier left end for 8 yards (tackle by Kenneth Murray),0.94,1.47
4,15:00,2,2,ATL 38,14,17,Marcus Mariota left end for 4 yards (tackle by Alohi Gilman),1.47,1.73
4,14:26,1,10,ATL 42,14,17,Marcus Mariota pass complete short left to Tyler Allgeier for 24 yards (tackle by Nasir Adderley),1.73,3.31
4,13:38,1,10,LAC 34,14,17,Caleb Huntley right guard for 4 yards (tackle by Morgan Fox),3.31,3.31
4,12:59,2,6,LAC 30,14,17,Cordarrelle Patterson left end for -2 yards (tackle by Kenneth Murray),3.31,2.35
4,12:23,,,,,,Timeout #1 by Los Angeles Chargers,,
4,12:23,3,8,LAC 32,14,17,Marcus Mariota pass incomplete deep right intended for Kyle Pitts,2.35,1.24
4,12:17,4,8,LAC 32,14,17,Younghoe Koo 50 yard field goal no good,1.24,-1.6
4,12:12,1,10,LAC 40,14,17,"Justin Herbert pass complete short right to Gerald Everett for 1 yard (tackle by Ta'Quon Graham and Richie Grant). Penalty on Corey Linsley: Ineligible Downfield Pass, 5 yards (declined) . Penalty on Trey Pipkins: Offensive Holding, 10 yards (accepted)",1.6,1
4,12:02,1,19,LAC 31,14,17,Justin Herbert pass complete short left to Michael Bandy for 11 yards (tackle by Rashaan Evans),1,1.32
4,11:07,2,8,LAC 42,14,17,Austin Ekeler right end for 6 yards (tackle by Richie Grant and Grady Jarrett),1.32,1.42
4,10:47,3,2,LAC 48,14,17,Justin Herbert pass complete short right to DeAndre Carter for 8 yards (tackle by Jaylinn Hawkins),1.42,2.65
